t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
s7s16,-2180.798096,268.8235168,-156.0245514,14617.27832,NaN,NaN,0.4359654,-1.3489041,0,0.6092268,NaN,NaN,0.25,NaN,NaN
s7s20,-2182.321533,278.4217224,-160.1265259,14608.74219,NaN,NaN,0.1858619,-1.3489041,0,0.2194355,NaN,NaN,0.25,NaN,NaN
s7s24,-2183.740723,288.3077698,-163.8307343,14594.49121,NaN,NaN,-0.0417577,-1.3489041,0,-0.1431833,NaN,NaN,0.25,NaN,NaN
s8hs20,-1768.21558,261.41516,-158.55165,12913.66895,NaN,NaN,0.13785,-0.8,0,0.02291,NaN,NaN,0.35,NaN,NaN
s8s16,-1767.07922,254.33446,-153.77974,12908.10352,NaN,NaN,0.39848,-1.46363,0,0.61767,NaN,NaN,0.35,NaN,NaN
s8s20,-1768.56177,262.23285,-157.59932,12904.88965,NaN,NaN,0.16146,-1.46363,0,0.19594,NaN,NaN,0.35,NaN,NaN
s8s24,-1769.94287,270.29108,-160.89565,12894.44531,NaN,NaN,-0.05347,-1.46363,0,-0.1968,NaN,NaN,0.35,NaN,NaN
s9hs20,-3023.92505,392.26572,-105.55664,17734.13086,NaN,NaN,0.11144,0,0.2,0.00618,NaN,NaN,0.14,NaN,NaN
s9s16,-3030.72168,377.7007141,-103.0858994,17834.18555,NaN,NaN,0.4871698,-0.44832,0.2,0.5922593,NaN,NaN,0.14,NaN,NaN
s9s20,-3028.213867,390.428772,-106.2129745,17779.94727,NaN,NaN,0.1615471,-0.44832,0.2,0.1356435,NaN,NaN,0.14,NaN,NaN
s9s24,-3031.466553,401.8540344,-109.4870529,17778.24414,NaN,NaN,-0.0793634,-0.44832,0.2,-0.2091423,NaN,NaN,0.14,NaN,NaN
s10hs20,-1810.02075,275.54434,-256.94205,12858.77051,NaN,NaN,0.16703,-0.5,-0.5,0.08449,NaN,NaN,0.333333,NaN,NaN
s10s16,-1809.863159,268.8074646,-250.4112091,12869.74316,NaN,NaN,0.4175017,-1.0191988,-0.5,0.6306372,NaN,NaN,0.3333333,NaN,NaN
s10s20,-1810.980591,276.8115234,-256.2614441,12859.27148,NaN,NaN,0.1831747,-1.0191988,-0.5,0.2170275,NaN,NaN,0.3333333,NaN,NaN
s10s24,-1812.993897,285.4754333,-262.1108398,12854.90234,NaN,NaN,-0.0347865,-1.0191988,-0.5,-0.1786289,NaN,NaN,0.3333333,NaN,NaN
s11hs20,-1807.08679,277.89841,-254.42711,12797.7002,NaN,NaN,0.181,-0.69974,-0.5,0.15224,NaN,NaN,0.3333333,NaN,NaN
s11s16,-1807.148071,271.2805786,-248.3392792,12812.49902,NaN,NaN,0.4174702,-0.9936718,-0.5,0.6307958,NaN,NaN,0.3333333,NaN,NaN
s11s20,-1807.991455,278.7789917,-253.8823242,12800.33105,NaN,NaN,0.1868941,-0.9936718,-0.5,0.2224309,NaN,NaN,0.3333333,NaN,NaN
s11s24,-1810.55542,288.1222534,-259.9057617,12799.22754,NaN,NaN,-0.0348021,-0.9936718,-0.5,-0.1810564,NaN,NaN,0.3333333,NaN,NaN
s12hs20,-1811.51819,270.64868,-85.66787,12906.86719,NaN,NaN,0.14178,-1,1,0.05379,NaN,NaN,0.333333,NaN,NaN
s12s16,-1811.392456,264.3297424,-83.3801193,12914.11914,NaN,NaN,0.3996581,-1.5212641,1,0.6099949,NaN,NaN,0.3333333,NaN,NaN
